Provinsi / Kabupaten / Kota;2021;2022;2023
KOTA MANADO;84.29;84.88;83.49
KOTA BITUNG;68.84;66.42;65.3
KOTA TOMOHON;83.7;83.44;83.48
KOTA KOTAMOBAGU;66.79;67.81;62.98
SULAWESI TENGAH;75.8;77.52;77.29
BANGGAI KEPULAUAN;71.86;76.01;75.89
BANGGAI;73.06;74.21;76.07
MOROWALI;51.08;55.25;56.01
POSO;70.94;71.05;75.34
DONGGALA;64.04;64.58;58.23
TOLI-TOLI;65.32;65.7;65.48
BUOL;61.32;61.34;61.53
PARIGI MOUTONG;60.5;62.74;59.77
TOJO UNA-UNA;50.69;55.21;54.39
SIGI;69.37;72.78;72.29
BANGGAI LAUT;72.68;70.41;71.7
MOROWALI UTARA;66.13;65;65.32
KOTA PALU;65.07;65.36;67.84
SULAWESI SELATAN;74.76;76.37;75.24
KEPULAUAN SELAYAR;68.07;68.71;70.29
BULUKUMBA;67.1;70.32;69.74
BANTAENG;81.2;80.21;79.28
JENEPONTO;68.68;68.94;70.73
TAKALAR;70.67;73.39;74.45
GOWA;79.71;78.35;79.7
SINJAI;73.59;73.78;71.09
MAROS;72.38;71.63;71.85
PANGKAJENE DAN KEPULAUAN;59.94;64.12;66.38
BARRU;63.98;65.24;64.91
BONE;57.55;59.09;58.61
SOPPENG;70.54;71.07;74.6
WAJO;56.3;55.83;57.9
SIDENRENG RAPPANG;56.39;56.71;60.37
PINRANG;68.43;65.12;68.92
ENREKANG;56.51;62.98;64.68
LUWU;57.29;58.03;55.34
TANA TORAJA;68.77;70.68;70.29
LUWU UTARA;41.11;43.96;47.63
LUWU TIMUR;54.09;55.4;53.38
TORAJA UTARA;62.73;64.21;62.23
KOTA MAKASSAR;76.59;78.15;78.13
KOTA PARE-PARE;70.86;71.21;71.85
KOTA PALOPO;78.45;79.1;78.19
SULAWESI TENGGARA;73.1;73.72;73.58
BUTON;68.21;70.51;70.37
MUNA;65.32;65.95;65.12
KONAWE;77.94;79.17;80.13
KOLAKA;67.02;67.14;67.85
KONAWE SELATAN;72.04;73.97;75.29
BOMBANA;57.62;58.86;68.48
WAKATOBI;79.86;81.35;83.62
KOLAKA UTARA;64.54;67.07;64.26
BUTON UTARA;75.55;77.47;77.18
KONAWE UTARA;69.04;69.39;70.65
KOLAKA TIMUR;80.75;78.72;77.92
KONAWE KEPULAUAN;51.48;51.19;53.85
MUNA BARAT;55.66;57.35;57.58
BUTON TENGAH;80.73;80.51;81.82
BUTON SELATAN;74.79;75.99;77.46
KOTA KENDARI;81.22;81.68;81.02
KOTA BAU-BAU;72.42;72.46;72.04
GORONTALO;70.4;71.2;71.11
BOALEMO;70.38;67.8;69.46
GORONTALO;62.48;62.68;63.22
POHUWATO;69.41;73.66;70.45
BONE BOLANGO;52.13;52.33;53.38
GORONTALO UTARA;70.51;70.02;69.21
KOTA GORONTALO;71.19;73.08;72.15
SULAWESI BARAT;65.93;66.55;66.93
MAJENE;75.46;75.76;76.28
POLEWALI MANDAR;71.13;71.81;74.87
MAMASA;60.49;60.39;60.95
MAMUJU;59.38;60.59;60.96
MAMUJU UTARA;56.97;57.52;57.17
MAMUJU TENGAH;67.11;67.01;57.26
MALUKU;75.54;74.99;78.09
MALUKU TENGGARA BARAT;77.53;78.64;77.96
MALUKU TENGGARA;69.22;69.96;69.41
MALUKU TENGAH;62.94;59.2;64.95
BURU;56.56;55.42;55.56
KEPULAUAN ARU;62.64;62.18;63.22
SERAM BAGIAN BARAT;55.49;55.42;56.39
SERAM BAGIAN TIMUR;51.74;51.97;53.45
MALUKU BARAT DAYA;56.41;57.86;57.47
BURU SELATAN;61.48;60.63;62.19
KOTA AMBON;74.33;73.98;74.71
KOTA TUAL;58.05;58.83;58.53
MALUKU UTARA;78.59;78.99;79.05
HALMAHERA BARAT;72.38;70.31;73.55
HALMAHERA TENGAH;51.7;58.34;53.32
KEPULAUAN SULA;44.68;45.63;44.91
HALMAHERA SELATAN;47.19;46.38;47.19
HALMAHERA UTARA;66.1;65.5;68.4
HALMAHERA TIMUR;51.23;50.2;50.05
PULAU MOROTAI;54.41;53.75;54.56
PULAU TALIABU;58.33;57.14;58.6
KOTA TERNATE;75.08;74.25;74.45
KOTA TIDORE KEPULAUAN;67.32;68.23;67.74
PAPUA BARAT;62.17;61.93;62.42
FAKFAK;60.07;59.71;59.49
KAIMANA;74.3;73.35;80.75
TELUK WONDAMA;51.01;47.39;52.94
TELUK BINTUNI;56.85;57.8;53.82
MANOKWARI;72.57;71.36;74.12
SORONG SELATAN;64.52;63.39;69.59
SORONG;59.61;60.05;59.91
RAJA AMPAT;53.11;53.35;53.96
TAMBRAUW;34.54;38.64;40.03
MAYBRAT;44.84;45.34;45.08
MANOKWARI SELATAN;66.26;63.66;63.86
PEGUNUNGAN ARFAK;36.36;45.09;38.21
KOTA SORONG;70.14;69.67;69.89
PAPUA;67.5;68.66;65.7
MERAUKE;58.12;59.71;58.74
JAYAWIJAYA;61.5;63.84;65.63
JAYAPURA;70.2;69.5;70.2
NABIRE;66.55;62.56;72.41
KEPULAUAN YAPEN;67.73;64.65;68.76
BIAK NUMFOR;68.87;69.84;70.71
PANIAI;57.36;67.32;40.2
PUNCAK JAYA;51.94;60.9;38.72
MIMIKA;53.86;54.74;51.06
BOVEN DIGOEL;52.17;55.83;52.35
MAPPI;58.91;52.82;56.55
ASMAT;78.37;78.16;73.68
YAHUKIMO;37.95;49.6;53.31
PEGUNUNGAN BINTANG;51.95;28.7;49.53
TOLIKARA;47.91;57.32;41.47
SARMI;72.92;68.85;70.35
KEEROM;59.83;54.04;63.87
WAROPEN;50.39;50.86;55.92
SUPIORI;62.65;63.21;64.18
MAMBERAMO RAYA;59.29;55.13;54.83
NDUGA;47.61;45.14;42.56
LANNY JAYA;37.08;47.98;27.24
MAMBERAMO TENGAH;46.96;49.34;52.77
YALIMO;37.8;50.98;44.15
PUNCAK;40.83;46.22;46.45
DOGIYAI;35.22;48.32;51.83
INTAN JAYA;37.14;31.41;35.89
DEIYAI;40.17;48.7;49.7
KOTA JAYAPURA;80.25;75.55;77.65
INDONESIA;76.26;76.59;76.9
